id,description
1,a golden sunset casting long shadows over a desert dune
2,emerald green velvet curtains with intricate gold embroidery
3,a turquoise ocean with waves crashing against jagged cliffs
4,a mosaic of sapphire and amber hexagons shimmering in the light
5,a charcoal gray trench coat with a belted waist and brass buckles
6,a misty forest with beams of sunlight piercing through the canopy
7,a crimson sphere suspended in a web of silver filaments
8,a pair of mustard yellow corduroy trousers with rolled cuffs
9,a lavender field stretching endlessly under a pale pink sky
10,a geometric pattern of navy diamonds and ivory circles on a slate background
