label,svg
0,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""0"" y=""0"" width=""256"" height=""256"" fill=""#004d00""/><polygon points=""0,0 128,0 128,256 0,256"" fill=""#006400""/><polygon points=""0,0 64,0 64,256 0,256"" fill=""#004d00""/><polygon points=""128,0 256,0 256,256 128,256"" fill=""#006400""/><polygon points=""192,0 256,0 256,256 192,256"" fill=""#004d00""/><line x1=""64"" y1=""0"" x2=""64"" y2=""256"" stroke=""#FFD700"" stroke-width=""2""/><circle cx=""64"" cy=""20"" r=""5"" fill=""#FFD700""/><circle cx=""64"" cy=""236"" r=""5"" fill=""#FFD700""/><line x1=""192"" y1=""0"" x2=""192"" y2=""256"" stroke=""#FFD700"" stroke-width=""2""/><circle cx=""192"" cy=""20"" r=""5"" fill=""#FFD700""/><circle cx=""192"" cy=""236"" r=""5"" fill=""#FFD700""/></svg>"
1,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""0"" y=""0"" width=""256"" height=""256"" fill=""#004d00""/><polygon points=""0,0 128,0 128,256 0,256"" fill=""#006400""/><polygon points=""0,0 64,0 64,256 0,256"" fill=""#004d00""/><polygon points=""128,0 256,0 256,256 128,256"" fill=""#006400""/><polygon points=""192,0 256,0 256,256 192,256"" fill=""#004d00""/><line x1=""64"" y1=""0"" x2=""64"" y2=""256"" stroke=""#FFD700"" stroke-width=""2""/><circle cx=""64"" cy=""20"" r=""5"" fill=""#FFD700""/><circle cx=""64"" cy=""236"" r=""5"" fill=""#FFD700""/><line x1=""192"" y1=""0"" x2=""192"" y2=""256"" stroke=""#FFD700"" stroke-width=""2""/><circle cx=""192"" cy=""20"" r=""5"" fill=""#FFD700""/><circle cx=""192"" cy=""236"" r=""5"" fill=""#FFD700""/></svg>"
2,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""0"" y=""0"" width=""256"" height=""256"" fill=""#004d00""/><polygon points=""0,0 128,0 128,256 0,256"" fill=""#006400""/><polygon points=""0,0 64,0 64,256 0,256"" fill=""#004d00""/><polygon points=""128,0 256,0 256,256 128,256"" fill=""#006400""/><polygon points=""192,0 256,0 256,256 192,256"" fill=""#004d00""/><line x1=""64"" y1=""0"" x2=""64"" y2=""256"" stroke=""#FFD700"" stroke-width=""2""/><circle cx=""64"" cy=""20"" r=""5"" fill=""#FFD700""/><circle cx=""64"" cy=""236"" r=""5"" fill=""#FFD700""/><line x1=""192"" y1=""0"" x2=""192"" y2=""256"" stroke=""#FFD700"" stroke-width=""2""/><circle cx=""192"" cy=""20"" r=""5"" fill=""#FFD700""/><circle cx=""192"" cy=""236"" r=""5"" fill=""#FFD700""/></svg>"
3,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""0"" y=""0"" width=""256"" height=""256"" fill=""#004d00""/><polygon points=""0,0 128,0 128,256 0,256"" fill=""#006400""/><polygon points=""0,0 64,0 64,256 0,256"" fill=""#004d00""/><polygon points=""128,0 256,0 256,256 128,256"" fill=""#006400""/><polygon points=""192,0 256,0 256,256 192,256"" fill=""#004d00""/><line x1=""64"" y1=""0"" x2=""64"" y2=""256"" stroke=""#FFD700"" stroke-width=""2""/><circle cx=""64"" cy=""20"" r=""5"" fill=""#FFD700""/><circle cx=""64"" cy=""236"" r=""5"" fill=""#FFD700""/><line x1=""192"" y1=""0"" x2=""192"" y2=""256"" stroke=""#FFD700"" stroke-width=""2""/><circle cx=""192"" cy=""20"" r=""5"" fill=""#FFD700""/><circle cx=""192"" cy=""236"" r=""5"" fill=""#FFD700""/></svg>"
4,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""0"" y=""0"" width=""256"" height=""256"" fill=""#004d00""/><polygon points=""0,0 128,0 128,256 0,256"" fill=""#006400""/><polygon points=""0,0 64,0 64,256 0,256"" fill=""#004d00""/><polygon points=""128,0 256,0 256,256 128,256"" fill=""#006400""/><polygon points=""192,0 256,0 256,256 192,256"" fill=""#004d00""/><line x1=""64"" y1=""0"" x2=""64"" y2=""256"" stroke=""#FFD700"" stroke-width=""2""/><circle cx=""64"" cy=""20"" r=""5"" fill=""#FFD700""/><circle cx=""64"" cy=""236"" r=""5"" fill=""#FFD700""/><line x1=""192"" y1=""0"" x2=""192"" y2=""256"" stroke=""#FFD700"" stroke-width=""2""/><circle cx=""192"" cy=""20"" r=""5"" fill=""#FFD700""/><circle cx=""192"" cy=""236"" r=""5"" fill=""#FFD700""/></svg>"
5,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><linearGradient id=""sunsetGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#ff4500""/><stop offset=""50%"" stop-color=""#ff8c00""/><stop offset=""100%"" stop-color=""#8b0000""/></linearGradient></defs><rect x=""0"" y=""0"" width=""256"" height=""128"" fill=""url(#sunsetGradient)""/><rect x=""0"" y=""128"" width=""256"" height=""128"" fill=""black""/><rect x=""0"" y=""128"" width=""256"" height=""64"" fill=""url(#sunsetGradient)"" opacity=""0.5""/></svg>"
6,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><linearGradient id=""sunsetGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#ff4500""/><stop offset=""50%"" stop-color=""#ff8c00""/><stop offset=""100%"" stop-color=""#8b0000""/></linearGradient></defs><rect x=""0"" y=""0"" width=""256"" height=""128"" fill=""url(#sunsetGradient)""/><rect x=""0"" y=""128"" width=""256"" height=""128"" fill=""black""/><rect x=""0"" y=""128"" width=""256"" height=""64"" fill=""url(#sunsetGradient)"" opacity=""0.5""/></svg>"
7,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect width=""256"" height=""256"" fill=""midnightblue""/><g fill=""silver""><circle cx=""50"" cy=""50"" r=""2""/><circle cx=""120"" cy=""80"" r=""3""/><circle cx=""200"" cy=""30"" r=""2.5""/><circle cx=""90"" cy=""150"" r=""2""/><circle cx=""180"" cy=""200"" r=""3""/><circle cx=""30"" cy=""220"" r=""2.5""/><circle cx=""150"" cy=""100"" r=""2""/><circle cx=""220"" cy=""180"" r=""3""/><circle cx=""70"" cy=""70"" r=""2.5""/><circle cx=""130"" cy=""130"" r=""2""/></g></svg>"
8,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect width=""256"" height=""256"" fill=""midnightblue""/><g fill=""silver""><circle cx=""50"" cy=""50"" r=""2""/><circle cx=""120"" cy=""80"" r=""3""/><circle cx=""200"" cy=""30"" r=""2.5""/><circle cx=""90"" cy=""150"" r=""2""/><circle cx=""180"" cy=""200"" r=""3""/><circle cx=""30"" cy=""220"" r=""2.5""/><circle cx=""150"" cy=""100"" r=""2""/><circle cx=""220"" cy=""180"" r=""3""/><circle cx=""70"" cy=""70"" r=""2.5""/><circle cx=""130"" cy=""130"" r=""2""/></g></svg>"
9,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect width=""256"" height=""256"" fill=""midnightblue""/><g fill=""silver""><circle cx=""50"" cy=""50"" r=""2""/><circle cx=""120"" cy=""80"" r=""3""/><circle cx=""200"" cy=""30"" r=""2.5""/><circle cx=""90"" cy=""150"" r=""2""/><circle cx=""180"" cy=""200"" r=""3""/><circle cx=""30"" cy=""220"" r=""2.5""/><circle cx=""150"" cy=""100"" r=""2""/><circle cx=""220"" cy=""180"" r=""3""/><circle cx=""70"" cy=""70"" r=""2.5""/><circle cx=""130"" cy=""130"" r=""2""/></g></svg>"
10,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><polygon id=""hexagon"" points=""50,0 100,0 125,43.3 100,86.6 50,86.6 25,43.3""/></defs><g transform=""translate(0, 0)""><use href=""#hexagon"" x=""0"" y=""0"" fill=""sapphire""/><use href=""#hexagon"" x=""75"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""150"" y=""0"" fill=""sapphire""/><use href=""#hexagon"" x=""225"" y=""0"" fill=""amber""/></g><g transform=""translate(37.5, 43.3)""><use href=""#hexagon"" x=""0"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""75"" y=""0"" fill=""sapphire""/><use href=""#hexagon"" x=""150"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""225"" y=""0"" fill=""sapphire""/></g><g transform=""translate(0, 86.6)""><use href=""#hexagon"" x=""0"" y=""0"" fill=""sapphire""/><use href=""#hexagon"" x=""75"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""150"" y=""0"" fill=""sapphire""/><use href=""#hexagon"" x=""225"" y=""0"" fill=""amber""/></g><g transform=""translate(37.5, 129.9)""><use href=""#hexagon"" x=""0"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""75"" y=""0"" fill=""sapphire""/><use href=""#hexagon"" x=""150"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""225"" y=""0"" fill=""sapphire""/></g><g transform=""translate(0, 173.2)""><use href=""#hexagon"" x=""0"" y=""0"" fill=""sapphire""/><use href=""#hexagon"" x=""75"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""150"" y=""0"" fill=""sapphire""/><use href=""#hexagon"" x=""225"" y=""0"" fill=""amber""/></g></svg>"
