id,svg,description,score
0,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><linearGradient id=""sunsetSky"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#FFD700""/><stop offset=""50%"" stop-color=""#FF8C00""/><stop offset=""100%"" stop-color=""#8B4513""/></linearGradient></defs><rect width=""256"" height=""256"" fill=""url(#sunsetSky)""/><path d=""M0,180 Q128,100 256,180 L256,256 L0,256 Z"" fill=""#A0522D""/><path d=""M50,180 Q128,120 206,180 L206,256 L50,256 Z"" fill=""#8B4513"" opacity=""0.6""/><path d=""M100,180 Q128,140 156,180 L156,256 L100,256 Z"" fill=""#8B4513"" opacity=""0.6""/></svg>",a golden sunset casting long shadows over a desert dune,0.47565600910505
1,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""0"" y=""0"" width=""256"" height=""256"" fill=""#005A34""/><polygon points=""0,0 128,0 128,256 0,256"" fill=""#005A34"" stroke=""#D4AF37"" stroke-width=""2""/><polygon points=""10,10 118,10 118,246 10,246"" fill=""#005A34"" stroke=""#D4AF37"" stroke-width=""2""/><polygon points=""128,0 256,0 256,256 128,256"" fill=""#005A34"" stroke=""#D4AF37"" stroke-width=""2""/><polygon points=""138,10 246,10 246,246 138,246"" fill=""#005A34"" stroke=""#D4AF37"" stroke-width=""2""/><g fill=""#D4AF37"" stroke=""#D4AF37"" stroke-width=""1""><path d=""M20,20 L20,40 M20,60 L20,80 M20,100 L20,120 M20,140 L20,160 M20,180 L20,200 M20,220 L20,240""/><path d=""M40,20 L40,40 M40,60 L40,80 M40,100 L40,120 M40,140 L40,160 M40,180 L40,200 M40,220 L40,240""/><path d=""M60,20 L60,40 M60,60 L60,80 M60,100 L60,120 M60,140 L60,160 M60,180 L60,200 M60,220 L60,240""/><path d=""M80,20 L80,40 M80,60 L80,80 M80,100 L80,120 M80,140 L80,160 M80,180 L80,200 M80,220 L80,240""/><path d=""M100,20 L100,40 M100,60 L100,80 M100,100 L100,120 M100,140 L100,160 M100,180 L100,200 M100,220 L100,240""/><path d=""M156,20 L156,40 M156,60 L156,80 M156,100 L156,120 M156,140 L156,160 M156,180 L156,200 M156,220 L156,240""/><path d=""M176,20 L176,40 M176,60 L176,80 M176,100 L176,120 M176,140 L176,160 M176,180 L176,200 M176,220 L176,240""/><path d=""M196,20 L196,40 M196,60 L196,80 M196,100 L196,120 M196,140 L196,160 M196,180 L196,200 M196,220 L196,240""/><path d=""M216,20 L216,40 M216,60 L216,80 M216,100 L216,120 M216,140 L216,160 M216,180 L216,200 M216,220 L216,240""/><path d=""M236,20 L236,40 M236,60 L236,80 M236,100 L236,120 M236,140 L236,160 M236,180 L236,200 M236,220 L236,240""/></g></svg>",emerald green velvet curtains with intricate gold embroidery,0.4624636376744851
2,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""0"" y=""128"" width=""256"" height=""128"" fill=""turquoise""/><path d=""M0 150 Q64 130 128 150 T256 150"" fill=""none"" stroke=""white"" stroke-width=""5""/><path d=""M0 170 Q64 150 128 170 T256 170"" fill=""none"" stroke=""white"" stroke-width=""5""/><polygon points=""0,128 50,80 100,128 150,60 200,128 256,128 256,256 0,256"" fill=""saddlebrown""/><line x1=""50"" y1=""80"" x2=""50"" y2=""128"" stroke=""darkbrown"" stroke-width=""3""/><line x1=""100"" y1=""128"" x2=""100"" y2=""60"" stroke=""darkbrown"" stroke-width=""3""/><line x1=""150"" y1=""60"" x2=""150"" y2=""128"" stroke=""darkbrown"" stroke-width=""3""/><line x1=""200"" y1=""128"" x2=""200"" y2=""60"" stroke=""darkbrown"" stroke-width=""3""/></svg>",a turquoise ocean with waves crashing against jagged cliffs,0.38492471787004967
3,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><linearGradient id=""sapphireGradient"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%""><stop offset=""0%"" stop-color=""#0F52BA""/><stop offset=""100%"" stop-color=""#003366""/></linearGradient><linearGradient id=""amberGradient"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%""><stop offset=""0%"" stop-color=""#FFBF00""/><stop offset=""100%"" stop-color=""#FF7E00""/></linearGradient></defs><polygon points=""64,32 96,32 112,64 96,96 64,96 48,64"" fill=""url(#sapphireGradient)"" opacity=""0.9""/><polygon points=""160,32 192,32 208,64 192,96 160,96 144,64"" fill=""url(#sapphireGradient)"" opacity=""0.9""/><polygon points=""112,128 144,128 160,160 144,192 112,192 96,160"" fill=""url(#sapphireGradient)"" opacity=""0.9""/><polygon points=""128,32 160,32 176,64 160,96 128,96 112,64"" fill=""url(#amberGradient)"" opacity=""0.9""/><polygon points=""80,128 112,128 128,160 112,192 80,192 64,160"" fill=""url(#amberGradient)"" opacity=""0.9""/><polygon points=""176,128 208,128 224,160 208,192 176,192 160,160"" fill=""url(#amberGradient)"" opacity=""0.9""/></svg>",a mosaic of sapphire and amber hexagons shimmering in the light,0.46848896606718926
4,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""50"" y=""20"" width=""156"" height=""200"" fill=""#333333""/><rect x=""50"" y=""120"" width=""156"" height=""10"" fill=""#555555""/><circle cx=""103"" cy=""125"" r=""5"" fill=""#b8860b""/><circle cx=""153"" cy=""125"" r=""5"" fill=""#b8860b""/><polygon points=""50,20 103,50 50,50"" fill=""#555555""/><polygon points=""206,20 153,50 206,50"" fill=""#555555""/><rect x=""20"" y=""50"" width=""30"" height=""120"" fill=""#333333""/><rect x=""206"" y=""50"" width=""30"" height=""120"" fill=""#333333""/></svg>",a charcoal gray trench coat with a belted waist and brass buckles,0.4359255152154356
5,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><linearGradient id=""mist"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#a8c0ff"" stop-opacity=""0.8""/><stop offset=""100%"" stop-color=""#3f2b96"" stop-opacity=""0.8""/></linearGradient></defs><rect width=""256"" height=""256"" fill=""url(#mist)""/><rect x=""50"" y=""100"" width=""10"" height=""120"" fill=""#654321""/><rect x=""120"" y=""80"" width=""10"" height=""140"" fill=""#654321""/><rect x=""190"" y=""90"" width=""10"" height=""130"" fill=""#654321""/><circle cx=""55"" cy=""100"" r=""30"" fill=""#228B22""/><circle cx=""125"" cy=""80"" r=""40"" fill=""#228B22""/><circle cx=""195"" cy=""90"" r=""35"" fill=""#228B22""/><line x1=""0"" y1=""0"" x2=""256"" y2=""256"" stroke=""#FFD700"" stroke-width=""2"" opacity=""0.5""/><line x1=""50"" y1=""0"" x2=""206"" y2=""256"" stroke=""#FFD700"" stroke-width=""2"" opacity=""0.5""/><line x1=""100"" y1=""0"" x2=""156"" y2=""256"" stroke=""#FFD700"" stroke-width=""2"" opacity=""0.5""/><line x1=""150"" y1=""0"" x2=""106"" y2=""256"" stroke=""#FFD700"" stroke-width=""2"" opacity=""0.5""/><line x1=""200"" y1=""0"" x2=""56"" y2=""256"" stroke=""#FFD700"" stroke-width=""2"" opacity=""0.5""/></svg>",a misty forest with beams of sunlight piercing through the canopy,0.49407835216518603
6,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><circle cx=""128"" cy=""128"" r=""60"" fill=""crimson""/><line x1=""0"" y1=""128"" x2=""256"" y2=""128"" stroke=""silver"" stroke-width=""2""/><line x1=""128"" y1=""0"" x2=""128"" y2=""256"" stroke=""silver"" stroke-width=""2""/><line x1=""64"" y1=""64"" x2=""192"" y2=""192"" stroke=""silver"" stroke-width=""2""/><line x1=""192"" y1=""64"" x2=""64"" y2=""192"" stroke=""silver"" stroke-width=""2""/></svg>",a crimson sphere suspended in a web of silver filaments,0.49055280141879903
7,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><linearGradient id=""trouserGradient"" x1=""0"" y1=""0"" x2=""1"" y2=""1""><stop offset=""0%"" stop-color=""#DAA520""/><stop offset=""100%"" stop-color=""#B8860B""/></linearGradient></defs><rect x=""50"" y=""50"" width=""156"" height=""156"" fill=""url(#trouserGradient)"" rx=""20"" ry=""20""/><rect x=""50"" y=""180"" width=""156"" height=""20"" fill=""#8B4513"" rx=""10"" ry=""10""/><rect x=""50"" y=""190"" width=""156"" height=""10"" fill=""#A0522D"" rx=""5"" ry=""5""/></svg>",a pair of mustard yellow corduroy trousers with rolled cuffs,0.4535136577516623
8,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""0"" y=""0"" width=""256"" height=""128"" fill=""#FADADD""/><rect x=""0"" y=""128"" width=""256"" height=""128"" fill=""#E6E6FA""/><g fill=""#967BB6""><circle cx=""50"" cy=""150"" r=""10""/><circle cx=""80"" cy=""170"" r=""10""/><circle cx=""120"" cy=""160"" r=""10""/><circle cx=""150"" cy=""180"" r=""10""/><circle cx=""200"" cy=""150"" r=""10""/><circle cx=""230"" cy=""170"" r=""10""/><circle cx=""100"" cy=""200"" r=""10""/><circle cx=""180"" cy=""200"" r=""10""/></g></svg>",a lavender field stretching endlessly under a pale pink sky,0.44491100296307806
9,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect width=""256"" height=""256"" fill=""slate""/><g transform=""rotate(45 128 128)""><rect x=""64"" y=""64"" width=""64"" height=""64"" fill=""navy""/><rect x=""128"" y=""64"" width=""64"" height=""64"" fill=""navy""/><rect x=""64"" y=""128"" width=""64"" height=""64"" fill=""navy""/><rect x=""128"" y=""128"" width=""64"" height=""64"" fill=""navy""/></g><circle cx=""64"" cy=""64"" r=""20"" fill=""ivory""/><circle cx=""192"" cy=""64"" r=""20"" fill=""ivory""/><circle cx=""64"" cy=""192"" r=""20"" fill=""ivory""/><circle cx=""192"" cy=""192"" r=""20"" fill=""ivory""/><circle cx=""128"" cy=""128"" r=""20"" fill=""ivory""/></svg>",a geometric pattern of navy diamonds and ivory circles on a slate background,0.5132998724699159
