id,svg,description,score
0,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""0"" y=""0"" width=""256"" height=""256"" fill=""#87CEEB""/><path d=""M0,128 C50,80 100,60 150,80 C200,100 256,120 256,128 L256,256 L0,256 Z"" fill=""#228B22""/><path d=""M0,160 C50,120 100,100 150,120 C200,140 256,160 256,160 L256,256 L0,256 Z"" fill=""#2E8B57""/><path d=""M0,128 C50,80 100,60 150,80 C200,100 256,120 256,128 L256,160 C200,140 150,120 100,100 C50,80 0,120 0,128 Z"" fill=""#40E0D0""/></svg>",a golden sunrise casting long shadows over a misty meadow,0.4751238332430992
1,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""50"" y=""80"" width=""156"" height=""140"" fill=""#6B8E23""/><rect x=""60"" y=""90"" width=""50"" height=""60"" fill=""#556B2F""/><rect x=""146"" y=""90"" width=""50"" height=""60"" fill=""#556B2F""/><line x1=""50"" y1=""220"" x2=""206"" y2=""220"" stroke=""#8B4513"" stroke-width=""4""/><line x1=""50"" y1=""224"" x2=""206"" y2=""224"" stroke=""#8B4513"" stroke-width=""4""/><circle cx=""60"" cy=""222"" r=""3"" fill=""#8B4513""/><circle cx=""196"" cy=""222"" r=""3"" fill=""#8B4513""/></svg>",navy velvet curtains with intricate gold embroidery,0.3531031344656588
2,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""50"" y=""100"" width=""60"" height=""120"" fill=""#333333"" stroke=""#1a1a1a"" stroke-width=""5""/><rect x=""150"" y=""100"" width=""60"" height=""120"" fill=""#333333"" stroke=""#1a1a1a"" stroke-width=""5""/><polygon points=""50,100 110,100 110,80 50,80"" fill=""#333333"" stroke=""#1a1a1a"" stroke-width=""5""/><polygon points=""150,100 210,100 210,80 150,80"" fill=""#333333"" stroke=""#1a1a1a"" stroke-width=""5""/><rect x=""70"" y=""120"" width=""20"" height=""20"" fill=""#b5a642"" stroke=""#8a7a32"" stroke-width=""2""/><rect x=""170"" y=""120"" width=""20"" height=""20"" fill=""#b5a642"" stroke=""#8a7a32"" stroke-width=""2""/></svg>",a turquoise river winding through emerald hills,0.29726189813007087
3,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""0"" y=""128"" width=""256"" height=""128"" fill=""#1a1a2e""/><path d=""M0 160 Q64 140, 128 160 T256 160"" fill=""none"" stroke=""#2c3e50"" stroke-width=""2""/><path d=""M0 180 Q64 160, 128 180 T256 180"" fill=""none"" stroke=""#2c3e50"" stroke-width=""2""/><path d=""M0 200 Q64 180, 128 200 T256 200"" fill=""none"" stroke=""#2c3e50"" stroke-width=""2""/><path d=""M128 40 A40 40 0 1 0 128 120 A40 40 0 1 1 128 40 Z"" fill=""#c0c0c0""/><path d=""M128 40 A40 40 0 1 1 128 120 A40 40 0 1 0 128 40 Z"" fill=""#1a1a2e""/></svg>",charcoal geometric patterns on a cream-colored canvas,0.46842875164352216
4,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><linearGradient id=""skyGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#FFD700""/><stop offset=""100%"" stop-color=""#FFA500""/></linearGradient></defs><rect width=""256"" height=""256"" fill=""url(#skyGradient)""/><circle cx=""128"" cy=""80"" r=""40"" fill=""#FFD700""/><rect x=""0"" y=""160"" width=""256"" height=""96"" fill=""#C0C0C0"" opacity=""0.6""/><polygon points=""0,256 256,256 256,200 0,160"" fill=""#000000"" opacity=""0.3""/><polygon points=""0,256 256,256 256,220 0,180"" fill=""#000000"" opacity=""0.2""/><polygon points=""0,256 256,256 256,240 0,200"" fill=""#000000"" opacity=""0.1""/></svg>",a crimson velvet armchair with brass nailhead trim,0.36787136651527413
5,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""80"" y=""100"" width=""96"" height=""120"" rx=""20"" ry=""20"" fill=""#0047AB""/><g fill=""white"" opacity=""0.8""><circle cx=""100"" cy=""120"" r=""8""/><circle cx=""120"" cy=""120"" r=""8""/><circle cx=""110"" cy=""110"" r=""8""/><circle cx=""110"" cy=""130"" r=""8""/><circle cx=""150"" cy=""150"" r=""8""/><circle cx=""170"" cy=""150"" r=""8""/><circle cx=""160"" cy=""140"" r=""8""/><circle cx=""160"" cy=""160"" r=""8""/><circle cx=""130"" cy=""180"" r=""8""/><circle cx=""150"" cy=""180"" r=""8""/><circle cx=""140"" cy=""170"" r=""8""/><circle cx=""140"" cy=""190"" r=""8""/></g></svg>","a silver crescent moon hanging above a dark, rippling lake",0.386853537965881
6,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect width=""256"" height=""256"" fill=""#F5F5DC""/><g fill=""none"" stroke=""#333333"" stroke-width=""4""><line x1=""0"" y1=""0"" x2=""256"" y2=""256""/><line x1=""256"" y1=""0"" x2=""0"" y2=""256""/></g><g fill=""none"" stroke=""#333333"" stroke-width=""2""><rect x=""50"" y=""50"" width=""100"" height=""100"" transform=""rotate(45, 100, 100)""/><rect x=""100"" y=""100"" width=""100"" height=""100"" transform=""rotate(45, 150, 150)""/></g><g fill=""none"" stroke=""#333333"" stroke-width=""2""><circle cx=""128"" cy=""128"" r=""50""/><circle cx=""128"" cy=""128"" r=""30""/><circle cx=""128"" cy=""128"" r=""10""/></g><polygon points=""128,20 200,200 56,200"" fill=""none"" stroke=""#333333"" stroke-width=""2""/></svg>",olive green cargo pants with oversized pockets and drawstring hems,0.34380555696804066
7,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""0"" y=""0"" width=""256"" height=""256"" fill=""#004d00""/><path d=""M0,128 Q64,96 128,128 T256,128"" fill=""#40e0d0"" stroke=""#40e0d0"" stroke-width=""10""/><g fill=""#006400""><rect x=""20"" y=""50"" width=""10"" height=""60""/><rect x=""40"" y=""30"" width=""10"" height=""80""/><rect x=""60"" y=""40"" width=""10"" height=""70""/><rect x=""80"" y=""20"" width=""10"" height=""90""/><rect x=""100"" y=""50"" width=""10"" height=""60""/><rect x=""120"" y=""30"" width=""10"" height=""80""/><rect x=""140"" y=""40"" width=""10"" height=""70""/><rect x=""160"" y=""20"" width=""10"" height=""90""/><rect x=""180"" y=""50"" width=""10"" height=""60""/><rect x=""200"" y=""30"" width=""10"" height=""80""/><rect x=""220"" y=""40"" width=""10"" height=""70""/><rect x=""240"" y=""20"" width=""10"" height=""90""/></g></svg>",a mosaic of amber and sapphire tiles forming a swirling galaxy,0.461285031216183
8,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><linearGradient id=""skyGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#FFD700""/><stop offset=""100%"" stop-color=""#FF8C00""/></linearGradient></defs><rect width=""256"" height=""256"" fill=""url(#skyGradient)""/><path d=""M0,180 Q128,100 256,180 L256,256 L0,256 Z"" fill=""#D2B48C""/><polygon points=""0,256 256,256 256,230 0,230"" fill=""#8B4513"" opacity=""0.5""/><polygon points=""0,230 256,230 256,200 0,200"" fill=""#8B4513"" opacity=""0.4""/><polygon points=""0,200 256,200 256,170 0,170"" fill=""#8B4513"" opacity=""0.3""/><polygon points=""0,170 256,170 256,140 0,140"" fill=""#8B4513"" opacity=""0.2""/><polygon points=""0,140 256,140 256,110 0,110"" fill=""#8B4513"" opacity=""0.1""/></svg>",a frost-covered forest under a pale pink dawn,0.38799379954377583
9,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""0"" y=""0"" width=""256"" height=""256"" fill=""navy""/><path d=""M50,0 L50,256 M100,0 L100,256 M150,0 L150,256 M200,0 L200,256"" stroke=""black"" stroke-width=""2"" opacity=""0.3""/><g fill=""gold"" opacity=""0.8""><circle cx=""30"" cy=""50"" r=""5""/><circle cx=""30"" cy=""100"" r=""5""/><circle cx=""30"" cy=""150"" r=""5""/><circle cx=""30"" cy=""200"" r=""5""/><circle cx=""226"" cy=""50"" r=""5""/><circle cx=""226"" cy=""100"" r=""5""/><circle cx=""226"" cy=""150"" r=""5""/><circle cx=""226"" cy=""200"" r=""5""/><polygon points=""60,80 70,60 80,80"" transform=""rotate(45, 70, 60)""/><polygon points=""180,80 190,60 200,80"" transform=""rotate(-45, 190, 60)""/><polygon points=""60,180 70,160 80,180"" transform=""rotate(45, 70, 160)""/><polygon points=""180,180 190,160 200,180"" transform=""rotate(-45, 190, 160)""/></g></svg>",a cobalt blue vase with delicate white floral motifs,0.3831248935466713
