id,svg
13,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><circle cx=""128"" cy=""128"" r=""60"" fill=""red""/><rect x=""98"" y=""98"" width=""60"" height=""60"" fill=""blue""/></svg>"
14,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 256 256"" width=""256"" height=""256""><circle cx=""128"" cy=""128"" r=""100"" fill=""red"" stroke=""none""/><rect x=""78"" y=""78"" width=""100"" height=""100"" fill=""blue"" stroke=""none""/></svg>"
8,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 256 256"" width=""256"" height=""256""><circle cx=""128"" cy=""128"" r=""120"" fill=""red"" stroke=""darkred"" stroke-width=""4""/><rect x=""78"" y=""78"" width=""100"" height=""100"" fill=""blue"" stroke=""darkblue"" stroke-width=""3""/></svg>"
16,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 256 256"" width=""256"" height=""256""><circle cx=""128"" cy=""128"" r=""100"" fill=""#ff0000"" stroke=""#000000"" stroke-width=""2""/><rect x=""78"" y=""78"" width=""100"" height=""100"" fill=""#0000ff"" stroke=""#000000"" stroke-width=""2""/></svg>"
2,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><radialGradient id=""circleGradient"" cx=""0.5"" cy=""0.5"" r=""0.5""><stop offset=""0%"" stop-color=""#ff3333""/><stop offset=""100%"" stop-color=""#cc0000""/></radialGradient><linearGradient id=""squareGradient"" x1=""0"" y1=""0"" x2=""1"" y2=""1""><stop offset=""0%"" stop-color=""#66a3ff""/><stop offset=""100%"" stop-color=""#0047b3""/></linearGradient></defs><g transform=""translate(128, 128)""><circle cx=""0"" cy=""0"" r=""100"" fill=""url(#circleGradient)"" stroke=""#990000"" stroke-width=""4""/><g transform=""rotate(45)""><rect x=""-50"" y=""-50"" width=""100"" height=""100"" fill=""url(#squareGradient)"" stroke=""#002966"" stroke-width=""3""/></g></g><polygon points=""0,0 256,0 256,256 0,256"" fill=""none"" stroke=""#333"" stroke-width=""2"" stroke-dasharray=""10,5""/></svg>"
10,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><linearGradient id=""gradient1"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%""><stop offset=""0%"" stop-color=""#ff7e5f""/><stop offset=""100%"" stop-color=""#feb47b""/></linearGradient><linearGradient id=""gradient2"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%""><stop offset=""0%"" stop-color=""#4b6cb7""/><stop offset=""100%"" stop-color=""#182848""/></linearGradient></defs><rect x=""0"" y=""0"" width=""256"" height=""256"" fill=""#f5f5f5""/><circle cx=""128"" cy=""128"" r=""100"" fill=""url(#gradient1)"" stroke=""#333"" stroke-width=""2""/><g transform=""translate(78, 78)""><polygon points=""50,0 100,50 50,100 0,50"" fill=""url(#gradient2)"" stroke=""#333"" stroke-width=""2""/></g><line x1=""128"" y1=""28"" x2=""128"" y2=""228"" stroke=""#333"" stroke-width=""1"" stroke-dasharray=""5,5"" opacity=""0.5""/><line x1=""28"" y1=""128"" x2=""228"" y2=""128"" stroke=""#333"" stroke-width=""1"" stroke-dasharray=""5,5"" opacity=""0.5""/></svg>"
7,"<svg viewBox=""0 0 200 200"" width=""200"" height=""200""><defs><linearGradient id=""grad1"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%""><stop offset=""0%"" stop-color=""#4a6fa5""/><stop offset=""100%"" stop-color=""#166088""/></linearGradient><radialGradient id=""grad2"" cx=""40%"" cy=""40%"" r=""50%"" fx=""40%"" fy=""40%""><stop offset=""0%"" stop-color=""#ff7e5f""/><stop offset=""100%"" stop-color=""#feb47b""/></radialGradient></defs><rect x=""0"" y=""0"" width=""200"" height=""200"" fill=""url(#grad1)""/><g transform=""translate(100, 100)""><circle cx=""0"" cy=""0"" r=""50"" fill=""url(#grad2)"" opacity=""0.9""/><polygon points=""-30,-30 30,-30 0,30"" fill=""#ffffff"" opacity=""0.8"" transform=""rotate(30)""/><ellipse cx=""0"" cy=""-60"" rx=""20"" ry=""10"" fill=""#ffffff"" opacity=""0.7""/><g transform=""rotate(45)""><line x1=""-40"" y1=""0"" x2=""40"" y2=""0"" stroke=""#ffffff"" stroke-width=""2""/><line x1=""0"" y1=""-40"" x2=""0"" y2=""40"" stroke=""#ffffff"" stroke-width=""2""/></g></g></svg>"
15,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><linearGradient id=""gradient1"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%""><stop offset=""0%"" stop-color=""#ff7e5f""/><stop offset=""100%"" stop-color=""#feb47b""/></linearGradient><linearGradient id=""gradient2"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%""><stop offset=""0%"" stop-color=""#a1c4fd""/><stop offset=""100%"" stop-color=""#c2e9fb""/></linearGradient></defs><rect x=""0"" y=""0"" width=""256"" height=""256"" fill=""url(#gradient1)""/><circle cx=""128"" cy=""128"" r=""100"" fill=""#ffffff"" opacity=""0.2""/><g transform=""rotate(-15 128 128)""><rect x=""78"" y=""78"" width=""100"" height=""100"" rx=""10"" fill=""url(#gradient2)"" stroke=""#ffffff"" stroke-width=""4""/><polygon points=""128,78 178,128 128,178 78,128"" fill=""#ffffff"" opacity=""0.7""/></g><circle cx=""128"" cy=""128"" r=""40"" fill=""#ffffff"" opacity=""0.9""/><line x1=""128"" y1=""40"" x2=""128"" y2=""216"" stroke=""#ffffff"" stroke-width=""2"" opacity=""0.5""/><line x1=""40"" y1=""128"" x2=""216"" y2=""128"" stroke=""#ffffff"" stroke-width=""2"" opacity=""0.5""/></svg>"
3,"<svg viewBox=""0 0 800 500"" width=""800"" height=""500""><defs><linearGradient id=""skyGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#ff9966""/><stop offset=""50%"" stop-color=""#ff5e62""/><stop offset=""100%"" stop-color=""#8e2de2""/></linearGradient><linearGradient id=""waterGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#1e90ff""/><stop offset=""100%"" stop-color=""#00008b""/></linearGradient></defs><rect x=""0"" y=""0"" width=""800"" height=""500"" fill=""url(#skyGradient)""/><circle cx=""700"" cy=""100"" r=""60"" fill=""#ffcc00""/><polygon points=""0,500 200,200 400,350 600,100 800,500"" fill=""#4b5320"" opacity=""0.8""/><polygon points=""0,500 150,250 300,400 500,150 800,500"" fill=""#3a5f0b"" opacity=""0.9""/><ellipse cx=""400"" cy=""450"" rx=""300"" ry=""50"" fill=""url(#waterGradient)"" opacity=""0.7""/><polygon points=""200,450 200,400 400,375 600,425 600,450"" fill=""#ffffff"" opacity=""0.3""/></svg>"
5,"<svg viewBox=""0 0 400 300"" width=""400"" height=""300""><defs><linearGradient id=""skyGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#ff7e5f""/><stop offset=""100%"" stop-color=""#feb47b""/></linearGradient><linearGradient id=""waterGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#feb47b"" stop-opacity=""0.6""/><stop offset=""100%"" stop-color=""#ff7e5f"" stop-opacity=""0.3""/></linearGradient></defs><rect x=""0"" y=""0"" width=""400"" height=""150"" fill=""url(#skyGradient)""/><circle cx=""300"" cy=""50"" r=""30"" fill=""#ffcc00""/><polygon points=""0,150 100,50 200,120 300,30 400,150"" fill=""#5a4a42""/><polygon points=""100,50 120,80 80,90"" fill=""#3a2a22""/><polygon points=""300,30 280,70 320,60"" fill=""#3a2a22""/><rect x=""0"" y=""150"" width=""400"" height=""150"" fill=""url(#waterGradient)""/><polygon points=""0,150 100,250 200,180 300,270 400,150"" fill=""#5a4a42"" opacity=""0.3""/><ellipse cx=""300"" cy=""150"" rx=""30"" ry=""10"" fill=""#ffcc00"" opacity=""0.5""/></svg>"
6,"<svg viewBox=""0 0 400 300"" width=""400"" height=""300""><defs><linearGradient id=""skyGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#FF7F50""/><stop offset=""50%"" stop-color=""#FFA07A""/><stop offset=""100%"" stop-color=""#87CEEB""/></linearGradient><linearGradient id=""waterGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#4682B4""/><stop offset=""100%"" stop-color=""#1E90FF""/></linearGradient></defs><rect x=""0"" y=""0"" width=""400"" height=""200"" fill=""url(#skyGradient)""/><circle cx=""200"" cy=""150"" r=""40"" fill=""#FFD700""/><polygon points=""0,200 80,120 160,180 240,100 320,160 400,200"" fill=""#2F4F4F""/><rect x=""0"" y=""200"" width=""400"" height=""100"" fill=""url(#waterGradient)""/><ellipse cx=""200"" cy=""200"" rx=""45"" ry=""15"" fill=""#FFD700"" opacity=""0.6""/><path d=""M50 230 Q100 220 150 230 Q200 240 250 230 Q300 220 350 230"" stroke=""#FFFFFF"" stroke-width=""1"" fill=""none"" opacity=""0.5""/><path d=""M30 250 Q100 240 170 250 Q240 260 310 250 Q370 240 400 250"" stroke=""#FFFFFF"" stroke-width=""1"" fill=""none"" opacity=""0.3""/></svg>"
4,"<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 200 200"" width=""200"" height=""200""><defs><linearGradient id=""skyGradient"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%""><stop offset=""0%"" stop-color=""#1a2a6c""/><stop offset=""50%"" stop-color=""#b21f1f""/><stop offset=""100%"" stop-color=""#fdbb2d""/></linearGradient><radialGradient id=""sunGradient"" cx=""50%"" cy=""50%"" r=""50%"" fx=""50%"" fy=""50%""><stop offset=""0%"" stop-color=""#ffff00""/><stop offset=""100%"" stop-color=""#ff9900""/></radialGradient></defs><rect x=""0"" y=""0"" width=""200"" height=""200"" fill=""url(#skyGradient)""/><circle cx=""150"" cy=""50"" r=""25"" fill=""url(#sunGradient)""/><polygon points=""0,200 50,120 100,160 150,80 200,200"" fill=""#3a5f0b"" opacity=""0.8""/><ellipse cx=""100"" cy=""180"" rx=""80"" ry=""20"" fill=""#1e88e5"" opacity=""0.7""/><g fill=""#2e7d32""><polygon points=""30,150 35,120 40,150""/><polygon points=""50,140 55,100 60,140""/><polygon points=""70,160 75,130 80,160""/><polygon points=""120,150 125,110 130,150""/><polygon points=""140,140 145,90 150,140""/><polygon points=""160,160 165,120 170,160""/></g><ellipse cx=""150"" cy=""180"" rx=""15"" ry=""5"" fill=""#ffeb3b"" opacity=""0.6""/></svg>"
1,"<svg viewBox=""0 0 800 500"" width=""800"" height=""500""><defs><linearGradient id=""skyGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#FF7F50""/><stop offset=""50%"" stop-color=""#FFA07A""/><stop offset=""100%"" stop-color=""#87CEEB""/></linearGradient><linearGradient id=""waterGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#4682B4""/><stop offset=""100%"" stop-color=""#1E90FF""/></linearGradient></defs><rect x=""0"" y=""0"" width=""800"" height=""500"" fill=""url(#skyGradient)""/><circle cx=""700"" cy=""100"" r=""60"" fill=""#FFD700""/><polygon points=""0,500 200,200 400,300 600,100 800,500"" fill=""#2F4F4F"" opacity=""0.8""/><polygon points=""0,500 100,300 300,400 500,150 800,500"" fill=""#556B2F"" opacity=""0.9""/><ellipse cx=""400"" cy=""450"" rx=""350"" ry=""80"" fill=""url(#waterGradient)"" opacity=""0.7""/><polygon points=""0,450 200,350 400,400 600,250 800,450"" fill=""#2F4F4F"" opacity=""0.3"" transform=""scale(1,-1) translate(0,-900)""/><polygon points=""0,450 100,350 300,400 500,300 800,450"" fill=""#556B2F"" opacity=""0.2"" transform=""scale(1,-1) translate(0,-900)""/><ellipse cx=""700"" cy=""450"" rx=""40"" ry=""10"" fill=""#FFD700"" opacity=""0.5""/></svg>"
12,"<svg viewBox=""0 0 400 300"" width=""400"" height=""300""><defs><linearGradient id=""skyGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#FF9966""/><stop offset=""50%"" stop-color=""#FF5E62""/><stop offset=""100%"" stop-color=""#8E2DE2""/></linearGradient><linearGradient id=""sunGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#FFE47A""/><stop offset=""100%"" stop-color=""#FF7B25""/></linearGradient></defs><rect x=""0"" y=""0"" width=""400"" height=""300"" fill=""url(#skyGradient)""/><circle cx=""300"" cy=""100"" r=""50"" fill=""url(#sunGradient)"" opacity=""0.9""/><polygon points=""0,300 100,150 200,250 300,100 400,300"" fill=""#3A1C71"" opacity=""0.8""/><polygon points=""0,300 50,200 150,250 250,180 350,220 400,300"" fill=""#1A103D"" opacity=""0.9""/><ellipse cx=""300"" cy=""300"" rx=""80"" ry=""20"" fill=""#FF7B25"" opacity=""0.3""/><g fill=""#FFFFFF"" opacity=""0.7""><circle cx=""50"" cy=""50"" r=""1.5""/><circle cx=""120"" cy=""30"" r=""1""/><circle cx=""200"" cy=""60"" r=""1.2""/><circle cx=""80"" cy=""80"" r=""1""/><circle cx=""150"" cy=""40"" r=""1.5""/><circle cx=""250"" cy=""70"" r=""1""/></g></svg>"
